법정동코드,center_point,경도,위도,법정동명,level,sd_cd,sd_nm,sgg_cd,sgg_nm,emd_cd,sgg_cnt,sgg_list
4119400000,POINT (126.79680409309087 37.474937099455104),126.79680409309087,37.474937099455104,경기도 부천시 소사구 ,1,41,경기도,41194,부천시 소사구,41194000,0,
4119600000,POINT (126.79345003159929 37.52760186999502),126.79345003159929,37.52760186999502,경기도 부천시 오정구 ,1,41,경기도,41196,부천시 오정구,41196000,0,
4121000000,POINT (126.86469404702272 37.44516912060513),126.86469404702272,37.44516912060513,경기도 광명시,1,41,경기도,41210,광명시,41210000,0,
4122000000,POINT (126.98766360644548 37.011824785086645),126.98766360644548,37.011824785086645,경기도 평택시,1,41,경기도,41220,평택시,41220000,0,
4125000000,POINT (127.07791273150256 37.916537608055755),127.07791273150256,37.916537608055755,경기도 동두천시,1,41,경기도,41250,동두천시,41250000,0,
4129000000,POINT (127.00267946696805 37.43384528510621),127.00267946696805,37.43384528510621,경기도 과천시,1,41,경기도,41290,과천시,41290000,0,
4131000000,POINT (127.13123117667298 37.59921886460282),127.13123117667298,37.59921886460282,경기도 구리시,1,41,경기도,41310,구리시,41310000,0,
4136000000,POINT (127.24366064478095 37.66252981361951),127.24366064478095,37.66252981361951,경기도 남양주시,1,41,경기도,41360,남양주시,41360000,0,
4137000000,POINT (127.05132966729167 37.16329067957575),127.05132966729167,37.16329067957575,경기도 오산시,1,41,경기도,41370,오산시,41370000,0,
4139000000,POINT (126.78396835597864 37.386243615893),126.78396835597864,37.386243615893,경기도 시흥시,1,41,경기도,41390,시흥시,41390000,0,
4141000000,POINT (126.92111229776978 37.34347232527181),126.92111229776978,37.34347232527181,경기도 군포시,1,41,경기도,41410,군포시,41410000,0,
4143000000,POINT (126.98962545609598 37.362387744224534),126.98962545609598,37.362387744224534,경기도 의왕시,1,41,경기도,41430,의왕시,41430000,0,
4145000000,POINT (127.20594379921027 37.5228141773234),127.20594379921027,37.5228141773234,경기도 하남시,1,41,경기도,41450,하남시,41450000,0,
4148000000,POINT (126.80935598330282 37.85553876689711),126.80935598330282,37.85553876689711,경기도 파주시,1,41,경기도,41480,파주시,41480000,0,
4150000000,POINT (127.48101484129096 37.2097848689282),127.48101484129096,37.2097848689282,경기도 이천시,1,41,경기도,41500,이천시,41500000,0,
4155000000,POINT (127.30272229212862 37.035027054142105),127.30272229212862,37.035027054142105,경기도 안성시,1,41,경기도,41550,안성시,41550000,0,
4157000000,POINT (126.6264306223875 37.68177237280791),126.6264306223875,37.68177237280791,경기도 김포시,1,41,경기도,41570,김포시,41570000,0,
4159000000,POINT (126.874858719182 37.16523514416565),126.874858719182,37.16523514416565,경기도 화성시,1,41,경기도,41590,화성시,41590000,0,
4161000000,POINT (127.30117595196099 37.40309074112018),127.30117595196099,37.40309074112018,경기도 광주시,1,41,경기도,41610,광주시,41610000,0,
4163000000,POINT (127.00113490289873 37.80865755824109),127.00113490289873,37.80865755824109,경기도 양주시,1,41,경기도,41630,양주시,41630000,0,
4165000000,POINT (127.25033728030428 37.96977801076034),127.25033728030428,37.96977801076034,경기도 포천시,1,41,경기도,41650,포천시,41650000,0,
4167000000,POINT (127.61573734497834 37.30245841904507),127.61573734497834,37.30245841904507,경기도 여주시,1,41,경기도,41670,여주시,41670000,0,
4180000000,POINT (127.0244563968521 38.09272994788251),127.0244563968521,38.09272994788251,경기도 연천군,1,41,경기도,41800,연천군,41800000,0,
4182000000,POINT (127.45019213108927 37.81843317158755),127.45019213108927,37.81843317158755,경기도 가평군,1,41,경기도,41820,가평군,41820000,0,
4183000000,POINT (127.57926446035343 37.518055848664936),127.57926446035343,37.518055848664936,경기도 양평군,1,41,경기도,41830,양평군,41830000,0,
4300000000,POINT (127.83044514368898 36.737887041569785),127.83044514368898,36.737887041569785,충청북도,0,43,충청북도,43000,,43000000,15,"['충청북도 청주시' '충청북도 청주시 상당구' '충청북도 청주시 서원구' '충청북도 청주시 흥덕구' '충청북도 청주시 청원구'
 '충청북도 충주시' '충청북도 제천시' '충청북도 보은군' '충청북도 옥천군' '충청북도 영동군' '충청북도 증평군'
 '충청북도 진천군' '충청북도 괴산군' '충청북도 음성군' '충청북도 단양군']"
4311100000,POINT (127.5848818454829 36.59211257410555),127.5848818454829,36.59211257410555,충청북도 청주시 상당구,1,43,충청북도,43111,청주시 상당구,43111000,0,
4311200000,POINT (127.43840329587016 36.547265056023406),127.43840329587016,36.547265056023406,충청북도 청주시 서원구,1,43,충청북도,43112,청주시 서원구,43112000,0,
4311300000,POINT (127.369274883973 36.646960762585906),127.369274883973,36.646960762585906,충청북도 청주시 흥덕구,1,43,충청북도,43113,청주시 흥덕구,43113000,0,
4311400000,POINT (127.49131761721686 36.72057891408072),127.49131761721686,36.72057891408072,충청북도 청주시 청원구,1,43,충청북도,43114,청주시 청원구,43114000,0,
4313000000,POINT (127.89566226479334 37.01519694223055),127.89566226479334,37.01519694223055,충청북도 충주시,1,43,충청북도,43130,충주시,43130000,0,
4315000000,POINT (128.14095929826357 37.05991183200859),128.14095929826357,37.05991183200859,충청북도 제천시,1,43,충청북도,43150,제천시,43150000,0,
4372000000,POINT (127.72933567152747 36.48994958770059),127.72933567152747,36.48994958770059,충청북도 보은군,1,43,충청북도,43720,보은군,43720000,0,
4373000000,POINT (127.6565588576771 36.320456113117864),127.6565588576771,36.320456113117864,충청북도 옥천군,1,43,충청북도,43730,옥천군,43730000,0,
4374000000,POINT (127.81422814362863 36.15965895654316),127.81422814362863,36.15965895654316,충청북도 영동군,1,43,충청북도,43740,영동군,43740000,0,
4374500000,POINT (127.60461807823255 36.786473013507354),127.60461807823255,36.786473013507354,충청북도 증평군,1,43,충청북도,43745,증평군,43745000,0,
4375000000,POINT (127.440463550866 36.87099951937492),127.440463550866,36.87099951937492,충청북도 진천군,1,43,충청북도,43750,진천군,43750000,0,
4376000000,POINT (127.8295881245425 36.769659025419884),127.8295881245425,36.769659025419884,충청북도 괴산군,1,43,충청북도,43760,괴산군,43760000,0,
4377000000,POINT (127.61420676964912 36.97622261439256),127.61420676964912,36.97622261439256,충청북도 음성군,1,43,충청북도,43770,음성군,43770000,0,
4380000000,POINT (128.38784162081097 36.99445276246436),128.38784162081097,36.99445276246436,충청북도 단양군,1,43,충청북도,43800,단양군,43800000,0,
4400000000,POINT (126.84945691255321 36.52911259486077),126.84945691255321,36.52911259486077,충청남도,0,44,충청남도,44000,,44000000,17,"['충청남도 천안시' '충청남도 천안시 동남구' '충청남도 천안시 서북구' '충청남도 공주시' '충청남도 보령시' '충청남도 아산시'
 '충청남도 서산시' '충청남도 논산시' '충청남도 계룡시' '충청남도 당진시' '충청남도 금산군' '충청남도 부여군'
 '충청남도 서천군' '충청남도 청양군' '충청남도 홍성군' '충청남도 예산군' '충청남도 태안군']"
4415000000,POINT (127.07521911409202 36.47981976191604),127.07521911409202,36.47981976191604,충청남도 공주시,1,44,충청남도,44150,공주시,44150000,0,
4418000000,POINT (126.59295739137033 36.3432836535941),126.59295739137033,36.3432836535941,충청남도 보령시,1,44,충청남도,44180,보령시,44180000,0,
4420000000,POINT (126.98007557008229 36.80731633434075),126.98007557008229,36.80731633434075,충청남도 아산시,1,44,충청남도,44200,아산시,44200000,0,
4421000000,POINT (126.46360158405008 36.78399345575373),126.46360158405008,36.78399345575373,충청남도 서산시,1,44,충청남도,44210,서산시,44210000,0,
4423000000,POINT (127.1577163766557 36.19088691334221),127.1577163766557,36.19088691334221,충청남도 논산시,1,44,충청남도,44230,논산시,44230000,0,
4425000000,POINT (127.23442661184966 36.29159369754008),127.23442661184966,36.29159369754008,충청남도 계룡시,1,44,충청남도,44250,계룡시,44250000,0,
4427000000,POINT (126.6529575008709 36.903388350171156),126.6529575008709,36.903388350171156,충청남도 당진시,1,44,충청남도,44270,당진시,44270000,0,
4471000000,POINT (127.47831188873236 36.11900080626743),127.47831188873236,36.11900080626743,충청남도 금산군,1,44,충청남도,44710,금산군,44710000,0,
4476000000,POINT (126.85696764162888 36.246383897232604),126.85696764162888,36.246383897232604,충청남도 부여군,1,44,충청남도,44760,부여군,44760000,0,
4477000000,POINT (126.70426375356195 36.10678072364822),126.70426375356195,36.10678072364822,충청남도 서천군,1,44,충청남도,44770,서천군,44770000,0,
4479000000,POINT (126.85311311134804 36.43058295882931),126.85311311134804,36.43058295882931,충청남도 청양군,1,44,충청남도,44790,청양군,44790000,0,
4480000000,POINT (126.62582959709587 36.57008948853029),126.62582959709587,36.57008948853029,충청남도 홍성군,1,44,충청남도,44800,홍성군,44800000,0,
4481000000,POINT (126.78430999014448 36.67062861842068),126.78430999014448,36.67062861842068,충청남도 예산군,1,44,충청남도,44810,예산군,44810000,0,
4482500000,POINT (126.2804466809991 36.70772708903862),126.2804466809991,36.70772708903862,충청남도 태안군,1,44,충청남도,44825,태안군,44825000,0,
4600000000,POINT (126.89978297005999 34.87544909252954),126.89978297005999,34.87544909252954,전라남도,0,46,전라남도,46000,,46000000,22,"['전라남도 목포시' '전라남도 여수시' '전라남도 순천시' '전라남도 나주시' '전라남도 광양시' '전라남도 담양군'
 '전라남도 곡성군' '전라남도 구례군' '전라남도 고흥군' '전라남도 보성군' '전라남도 화순군' '전라남도 장흥군'
 '전라남도 강진군' '전라남도 해남군' '전라남도 영암군' '전라남도 무안군' '전라남도 함평군' '전라남도 영광군'
 '전라남도 장성군' '전라남도 완도군' '전라남도 진도군' '전라남도 신안군']"
4611000000,POINT (126.3918352798842 34.8037641607386),126.3918352798842,34.8037641607386,전라남도 목포시,1,46,전라남도,46110,목포시,46110000,0,
4613000000,POINT (127.65325585118073 34.69856916916984),127.65325585118073,34.69856916916984,전라남도 여수시,1,46,전라남도,46130,여수시,46130000,0,
4615000000,POINT (127.38916272922611 34.99474505514379),127.38916272922611,34.99474505514379,전라남도 순천시,1,46,전라남도,46150,순천시,46150000,0,
4617000000,POINT (126.72041032044052 34.98858939502458),126.72041032044052,34.98858939502458,전라남도 나주시,1,46,전라남도,46170,나주시,46170000,0,
4623000000,POINT (127.65507339287335 35.02065028120709),127.65507339287335,35.02065028120709,전라남도 광양시,1,46,전라남도,46230,광양시,46230000,0,
4671000000,POINT (126.99529085588003 35.29149510320821),126.99529085588003,35.29149510320821,전라남도 담양군,1,46,전라남도,46710,담양군,46710000,0,
4672000000,POINT (127.26358252148191 35.21661355264953),127.26358252148191,35.21661355264953,전라남도 곡성군,1,46,전라남도,46720,곡성군,46720000,0,
4673000000,POINT (127.50311925226208 35.236766215530956),127.50311925226208,35.236766215530956,전라남도 구례군,1,46,전라남도,46730,구례군,46730000,0,
4677000000,POINT (127.3146204968089 34.59848495442526),127.3146204968089,34.59848495442526,전라남도 고흥군,1,46,전라남도,46770,고흥군,46770000,0,
